order_bn,text,label_confirm
7.96e+17,送人，帮我好好包装,1
7.96e+17,开收款收据,1
7.96e+17,请发韵达或中通,0
7.96e+17,不放清单，二维码，吊牌。,1
7.96e+17,最好白色的换成灰色和黑色。,0
5.88e+17,请务必送到收货地址，不要放在小区快递柜，谢谢,0
7.96e+17,"发中通 
 不放吊牌，清单，二维码",0
5.88e+17,请尽快发货，谢谢,1
7.96e+17,检查好质量发货,1
7.96e+17,38码，请选质量好的，多谢！,1
7.96e+17,检查好再发货，拒收残次品！,1
7.96e+17,免运费,1
5.88e+17,确认无瑕疵谢谢,1
5.8e+17,急 希望快点发货 谢谢,1
7.96e+17,请检查好物品质量，谢谢,1
7.96e+17,麻烦生产日期要最新的，谢谢。,1
7.96e+17,跨境电商，没货务必及时联系（旺旺或者收件电话）,0
7.96e+17,请勿放出库单及卷类,1
7.96e+17,上次买的有些大，请速发，旅游要用！,0
7.96e+17,尽快发货,1
7.96e+17,请尽快发货,1
5.88e+17,请不要放价格单,1
5.88e+17,请不要放价格单,1
7.96e+17,两件包邮，请免邮,0
7.96e+17,发货前请仔细检查,1
7.96e+17,不要清单,1
7.96e+17,除了商品赠品！不要有其他东西哦,1
7.96e+17,保证全新正品，原封包装,1
7.96e+17,要小码,1
7.96e+17,请不要放价格单,1
5.88e+17,快递除中通和申通外，其他都可以送到,0
7.96e+17,请包装好，谢谢,1
5.8e+17,黑色和灰色各一套,0
7.96e+17,请把包裹放在门口,0
5.8e+17,全新，无瑕疵，做好包装。,1
7.97e+17,请不要放价格单,1
7.96e+17,麻烦老板选择质量好，没有瑕疵，没有异味不掉色的产品给我，麻烦尽快发货，谢谢！,1
5.88e+17,务必今天发货急,1
7.97e+17,尽快发货，急用，希望9号前要到,1
5.88e+17,不要任何信息,0
7.97e+17,一件黑色，一件浅灰条纹,0
7.97e+17,质量要好，包好，谢谢！,1
7.96e+17,粉色37请确认质量,0
7.96e+17,描述一致就好。由于，只能收到这四个快递的包裹：百世，中通，圆通，韵达。其他收不到，有劳掌柜。,0
7.97e+17,发两套白色，一套黑色谢谢,0
5.88e+17,请不要放价格单,1
7.97e+17,请及时发货，发货时多多仔细，谢谢！,1
7.97e+17,急用,1
7.97e+17,尽快发货。谢谢,1
7.96e+17,需要银白色，31码，请按照我的选择发货，谢谢！,1
7.97e+17,路远包结实发全新。,1
7.97e+17,请发最新日期的货,1
5.88e+17,快递麻烦放快递柜谢谢,0
7.97e+17,我要买白边的，五星好评，谢谢老板，,1
7.97e+17,全新正品，完整包装，有标示牌，请尽快发货！拒收：已拆封或已试用产品！,1
7.97e+17,中通韵达,0
7.97e+17,掌柜挑好没问题的尽快发货，谢谢,1
7.96e+17,仔细包装完好，谢谢！,1
7.97e+17,请不要放于产品无关的东西 ，请尽快发出,0
7.97e+17,不放吊牌，清单，二维码,1
7.97e+17,32码，酷黑的，请选质量好的发货，谢谢！,1
5.88e+17,请卖家检查清楚产品质量再发货，避免大家麻烦。,1
7.97e+17,请尽快发货哦亲，请保护好我的商品～,1
7.97e+17,发票发送邮箱：sunquan_nanjing@163.com,1
7.97e+17,请尽快发货，谢谢,1
5.88e+17,一个石墨黑,0
7.97e+17,请全新正品，保证质量。2号、3号码的各一个，别发错货，谢谢,1
7.97e+17,发顺丰,0
7.97e+17,需要发票,1
7.97e+17,检查好质量再发出。,1
7.97e+17,要全新的，不要退货的！,1
7.97e+17,请包装好点,1
7.97e+17,请不要放价格单,1
7.97e+17,如有黑色，可优先发黑色款。谢谢,0
7.97e+17,请不要放价格单,1
7.97e+17,请尽快发货，需要在周三之前收到货,1
7.97e+17,尺码换货订单，优先发货,1
5.8e+17,希望卖家快快发货！,1
7.97e+17,麻烦颜色规格不要发错,1
5.88e+17,9号要出游 麻烦尽快发货呀谢谢,1
7.97e+17,亲！发条质量好点的哟,1
7.97e+17,请不要放价格单,1
5.8e+17,请发 邮政,0
7.97e+17,急用 请帮我检查好发货谢谢您,1
7.97e+17,拒收小区快递柜，请送货到家。家里大部分时间都有人,0
7.97e+17,你好，发货前请务必检查好质量，谢谢，祝兴隆！,1
7.97e+17,请卖家发货前检查产品质量，确保正品，谢谢！,1
7.97e+17,保证品质,1
7.97e+17,包装时请注意表盘的保护,1
5.88e+17,选质量好的,1
7.97e+17,请发顺丰，急用,0
5.88e+17,发邮政或顺丰,0
7.97e+17,发申通,0
7.97e+17,明天发货着急用,1
7.97e+17,邮政快递，谢谢,0
7.97e+17,请卖家检查好产品质量。若无质量问题。必图片五星好评,1
7.97e+17,请卖家发货前检查好质量，谢谢！,1
7.97e+17,"尺码：M（58-60cm）
 颜色分类：男款-深卡其布色",0
7.97e+17,我是淘宝钻石会员，发货前请检查质量，送礼物给我,1
7.97e+17,必需顺风 可以补差价,0
7.97e+17,请卖家检查好产品质量。若无质量问题。必图片五星好评,1
7.97e+17,请保证质量这么重的东西希望不要出现更换等情况。,1
7.97e+17,发中通拒收,0
5.8e+17,麻烦尽快正品发货，谢谢,1
7.97e+17,衣服要xl的 裤子腰l的,0
5.88e+17,快发货！！,1
7.97e+17,请不要放价格单,1
7.97e+17,新年快乐，没有全优也超级无敌棒??,1
7.97e+17,请不要放价格单,1
5.88e+17,请发中通快递,0
7.97e+17,请不要放价格单,1
7.97e+17,发中通，方便取件,0
5.88e+17,发票晚点开,1
7.97e+17,请发中通快递。,0
7.97e+17,谢谢尽快发货，保证商品质量!,1
7.97e+17,请不要放价格单,1
7.97e+17,请不要放价格单,1
7.97e+17,请不要放价格单,1
7.97e+17,请不要放价格单,1
7.97e+17,请不要放价格单,1
7.97e+17,请不要放价格单,1
7.97e+17,请不要放价格单,1
5.8e+17,成人黑色。。。,0
7.97e+17,请不要放价格单,1
7.97e+17,请不要放价格单,1
7.97e+17,请不要放价格单,1
5.88e+17,请寄顺丰快递,0
7.97e+17,请不要放价格单,1
7.97e+17,请不要放价格单,1
5.8e+17,麻烦帮我检查一下质量，明天发货谢谢,1
5.88e+17,请不要放价格单,1
5.88e+17,网路不通。需要开发票。,1
7.97e+17,请发全新新货，尺码全是XXL,1
5.88e+17,你好，请尽快帮我安排发货，很急很急谢谢！,1
7.97e+17,一定挑选一款质量好的，谢谢?,1
7.97e+17,请尽快发货，保证全新正品无瑕疵。好再来！,1
7.97e+17,中通，送收纳袋，谢谢,0
7.97e+17,保证质量,1
5.88e+17,请不要放价格单,1
7.98e+17,让老弟保护老哥冬天不受寒冷侵袭,1
7.97e+17,不要白色边条纹的裤子,0
7.98e+17,请发中通,0
7.97e+17,检查好质量发货,1
5.88e+17,快递放小区驿站,0
7.98e+17,三种颜色各10个,0
7.97e+17,确保质量尽早发货！谢谢,1
7.98e+17,拒收瑕疵品、退货品，请发全新品。,1
7.98e+17,发货注意检查。,1
7.98e+17,发顺丰,0
7.98e+17,急用，请尽快发货。,1
7.97e+17,亲，麻烦发货时帮忙检查一下质量，十分感激,1
7.98e+17,不放清单，二维码， 吊牌,1
5.88e+17,不放购物清单。,1
7.98e+17,不放清单!,1
7.98e+17,护膝是加大码，别发错了，谢谢,1
7.98e+17,不放清单，二维码，吊牌,1
7.98e+17,10号发货,1
7.98e+17,不发申通,0
5.88e+17,尽快，不然人走了,0
7.98e+17,不要放清单和好评卡,1
7.98e+17,M码各一，S码白色黑色各一,0
7.98e+17,请卖家在确保物品质量且非二手的前提下，妥善包裹，迅速发货，谢谢！,1
7.98e+17,请不要放价格单,1
7.98e+17,请不要放价格单,1
7.98e+17,不要申通快递,0
7.98e+17,检查质量，尽快发货。,1
7.98e+17,发申通快递,0
7.98e+17,请不要放价格单,1
7.98e+17,邮政,0
7.98e+17,请不要放价格单,1
7.98e+17,我绝对不收退换货物。^0^,1
7.98e+17,请尽快发货，谢谢！,1
7.98e+17,发顺丰快递,0
7.98e+17,发货之前请仔细检查。,1
7.98e+17,送货请通知,0
7.98e+17,请发中通快递或申通快递，谢谢。,0
7.98e+17,尽快发货 谢谢！,1
7.98e+17,请发货前检查好货品质量，要全新的不要有任何问题,1
7.98e+17,请保证正品,1
7.98e+17,麻烦尽快发货哈，谢谢了?,1
7.98e+17,请尽快发货，急需！谢谢?,1
7.98e+17,紧身裤子上码，短裤XXL码。謝謝,0
7.98e+17,麻烦发货时帮我检查清楚在发货，谢谢你～,1
7.98e+17,确保全新发货。发货前望能检验下。发货时 加固包装 谢谢！,1
7.98e+17,一定不要放购物清单！！！！蟹蟹！！！,1
7.98e+17,申通,0
7.98e+17,急！急！急！,1
7.98e+17,申通,0
7.98e+17,麻烦今天发货哦！急用！谢谢！,1
7.98e+17,其他平台分销，请勿放清单平台店铺相关信息，可放吊牌合格证，谢谢合作,1
7.98e+17,请检查一下质量和颜色，买的黑色别弄错了,0
7.98e+17,快递不放店铺资料和购物清单，谢谢,1
7.98e+17,不要中通，其他都可以,0
7.98e+17,。。。发货前请先检查好商品正常无损坏核对商品款式、颜色。烦请严实包装在发货，避免开箱验货，浪费邮费与时间，造成不必要的纠纷，谢谢您辛苦了！,1
7.98e+17,保证品质、尽快发货，谢谢～～,1
7.98e+17,麻烦尽快发货,1
7.98e+17,发顺丰快递,0
7.98e+17,亲，质量要好！不要有瑕疵！不要有污渍 不要掉线 谢谢,1
7.98e+17,不放价格清单,1
7.98e+17,一个蓝色，一个黑色，一个迷彩,0
5.66e+17,麻烦发ems或者顺丰，谢谢！,0
7.98e+17,发货时，请仔细检查物品的质量，避免之后造成不愉快，谢谢合作！！！,1
5.88e+17,禁止发申通，韵达邮政,0
7.98e+17,保证质量，包邮,1
7.98e+17,请今天发货顺丰，谢谢,0
7.98e+17,不要有任何瑕疵,1
7.98e+17,卖家费心，谢谢,1
7.98e+17,发货前仔细检查,1
7.98e+17,麻烦尽快发货。急要的谢谢！,1
7.98e+17,请卖家快发货,1
7.98e+17,尽快发货哦,1
5.88e+17,泳镜，左眼375度，右眼450度,0
7.98e+17,用顺丰发货,0
7.98e+17,发申通快递！,0
7.98e+17,记得拿对,1
7.98e+17,中通快递,0
7.98e+17,请不要放价格单,1
7.98e+17,请不要放价格单,1
7.98e+17,请发顺丰，多谢。,0
7.98e+17,3件免运费，要退运费,1
7.98e+17,保证质量,1
7.98e+17,因为是部队所以电话无法打通，所以麻烦让快递直接配送到地点有专门人员接收 感谢,0
7.98e+17,请不要放价格单,1
7.98e+17,请不要放价格单,1
7.98e+17,不要发百世快递。,0
7.99e+17,顺丰可以吗,0
7.98e+17,圆通谢谢！圆通谢谢！圆通谢谢！,0
5.88e+17,发顺丰，我补差价，谢谢你!,0
7.99e+17,检查好质量，尽快发货,1
5.88e+17,质量要好的，尽快发货，谢谢,1
7.98e+17,请不要放价格单,1
7.98e+17,麻烦帮我挑件没有瑕疵的哦！感谢,1
7.99e+17,着位小哥是国家栋梁，货物品质保证。,1
5.8e+17,"寄送至： 湖南 常德 石门 楚江 澧阳中路跃云驾校大门旁福利彩票投注站
 
 收货人：覃建勇 13875197198",0
5.88e+17,不要掉色哦,1
7.99e+17,尽快发货,1
7.99e+17,尽快发货，请确保质量和包装！,1
5.88e+17,黑色一双，白色一双,0
7.99e+17,最好发中通快递或者天天快递邮政快递,0
7.99e+17,不放价格单和店铺卡片,1
7.99e+17,保证质量，尽快发货！,1
7.99e+17,全新无瑕疵谢谢,1
7.99e+17,尺码准确 尽快发货 谢谢,1
7.99e+17,中通,0
7.99e+17,请不要在快递上写产品名称，谢谢,1
7.98e+17,请不要放价格单,1
7.98e+17,请不要放价格单,1
7.99e+17,无痕发货,1
5.88e+17,速度发货,1
7.99e+17,不要订单信息，不要店铺信息，不要返现券,1
7.99e+17,能不能一个尺寸是l，一个是l/xl,1
7.99e+17,麻烦检查无质量问题发货谢谢。,1
7.99e+17,确保质量！,1
7.99e+17,请检查好，不要有任何问题，谢谢,1
7.99e+17,发邮政,0
7.99e+17,请不要放价格单,1
7.99e+17,尽快发货!!!,1
7.99e+17,如果联系不到买家的话 就按照这个地址 放在门卫室,0
7.99e+17,开具发票,1
7.99e+17,请不要用中通快递,0
5.88e+17,颜色一黑一粉谢谢?,0
7.99e+17,发中通圆通哈,0
7.99e+17,转家骏,1
7.99e+17,转家骏,1
5.8e+17,不要坏的！不要有瑕疵的！,1
5.8e+17,请检查好质量发货呦，谢谢,1
7.99e+17,保证质量，及时发货,1
7.99e+17,发货前检查质量，谢谢,1
7.99e+17,1月10日要出差、尽快发货,1
7.99e+17,朋友强烈推荐的卖家，快递小哥辛苦啦,1
5.8e+17,顺丰快件 到付,0
7.99e+17,请检查好后尽快发货，杜绝划痕凹陷等……感谢,1
7.99e+17,您好，麻烦您发货前帮我检查下物品和包装，谢谢！,1
5.62e+17,请不要放任何有关价格的清单 谢谢,1
5.72e+17,保证质量冇瑕疵。,1
5.72e+17,麻烦帮忙寄邮政小包或者邮政快递。很便宜的邮费，谢谢了，别的快递到不了。,0
5.72e+17,请尽快发货周末使用。,1
5.72e+17,记得不要发错哦谢谢,1
5.67e+17,发货时请检查一下拉锁质量，谢谢啦,1
5.62e+17,看好颜色款式再发货，否则可不收货哦！,1
6.66e+17,你好，星期五孩子秋游要用，麻烦加个急，星期四能到就太谢谢了,1
5.67e+17,急件，麻烦质量检查好,1
6.66e+17,不要圆通快递,0
5.67e+17,检查好质量尽快发货,1
5.67e+17,代我向林小姐问好~,1
6.66e+17,发货前请检查一遍，你放心，我也就放心了。合作愉快！包装一定要好。请尽快发货，着急，谢谢。包装一定要好好的啊。谢谢！！！祝生意兴隆，财源广进！对比三家，你家最真！。。。赠品千万不要漏发了！谢谢！,1
5.72e+17,货好大家都好！,1
6.66e+17,麻烦我要M号，S我怕穿不下,0
5.72e+17,麻烦帮忙发顺丰！！！！急用，感谢,0
5.67e+17,打包成一快,1
5.67e+17,请检查好产品质量及包装，避免双方不必要的麻烦，谢谢,1
5.62e+17,请检查好质量再发货 谢谢,1
6.66e+17,开发票：公司名称：南宁道远拓展体育文化有限公司；公司税号：91450103669709281M,1
6.66e+17,注意包装别弄坏了，尽快发货，不要邮政不要邮政不要邮政,0
5.67e+17,能不能发顺丰，谢谢,0
6.66e+17,男款黑色M码和L码，女款海军蓝M码,0
6.66e+17,仔细挑件好的，不接受瑕疵，谢谢！,1
6.66e+17,麻烦一定要包装好，检查好质量，不要变形的，我比较追求完美，谢谢,1
5.62e+17,不要发中通,0
5.67e+17,拒收邮政快递，尽快发货，保证质量全新,0
5.67e+17,送个袜子，买这么多,1
5.62e+17,上衣要s码，裤子L码,0
6.66e+17,发货前请仔细检查！,1
6.66e+17,请仔细检查好，别有开胶开线破损，车线工整对称，鞋垫与鞋长短大小一致，包装结实，谢谢！,1
6.66e+17,不要发中通，不要发中通,0
5.62e+17,尽快发货谢谢,1
6.66e+17,全新,1
6.66e+17,请送家里,0
5.67e+17,发货前请仔细检查质量。,1
6.66e+17,请尽快安排发货，谢谢！,1
6.66e+17,请速发货！,1
6.66e+17,老板麻烦帮忙优先发圆通和韵达或者百世谢谢,0
6.66e+17,保证质量，谢谢,1
5.62e+17,选个好点的快点发货！,1
6.66e+17,尽快发货，急用,1
6.66e+17,有东西送吗？请尽快发货，谢谢！,1
6.66e+17,发快递，包好包牢，尽快发货。,1
6.66e+17,请验好货，不能有瑕疵哦，谢谢。,1
6.66e+17,保证质量！,1
6.66e+17,请发一蓝一红,1
6.66e+17,运动会急用！请立刻发货！,1
5.67e+17,发个质量好点的哦，谢谢,1
5.62e+17,检查好质量发货,1
6.66e+17,请老板早点发货，包装好。,1
5.67e+17,发货时请检查衣服有无质量问题，包装请妥善，谢谢！,1
6.66e+17,检查好衣服质量谢谢！,1
5.67e+17,申通 圆通,0
6.66e+17,不要放任何有关价格的标签 店铺优惠券和好评卡之类的 有事不要电话联系，请直接旺旺联系 谢谢,1
6.66e+17,灰色和砚青色，谢谢！,0
5.67e+17,亲，周六上午用，请尽快发货，谢谢,1
5.67e+17,发票抬头：宁波市鄞州区潘火街道格兰晴天幼儿园。税号：12330227MB1230967E,1
6.66e+17,全新，不要开线不要脏的或有破洞的，谢谢！，,1
6.66e+17,尽快发货。谢谢！,1
6.66e+17,42,0
5.67e+17,请检查好质量尽快发货谢谢,1
6.66e+17,到货满意给好评,1
6.66e+17,尽快，谢谢,1
6.67e+17,麻烦您尽快发货啦~(≧▽≦)/~,1
6.66e+17,请尽快发货，急用,1
6.66e+17,希望发货快点，10月19日有一个比赛！急急急急急急急！！！！！,1
6.67e+17,发货前一定要检查好质量哦,1
6.67e+17,不用放清单.价格和店铺信息，辛苦了,1
5.62e+17,保证质量,1
5.62e+17,圆通,0
6.66e+17,保证质量，再来购买,1
